No,機種,ソフト名,メーカー,発売日,推定累計販売本数
1,GB,ポケットモンスター (赤・緑・青・ピカチュウ),任天堂,1996/2/27,1007万7166本
2,FC,スーパーマリオブラザーズ,任天堂,1985/9/13,681万0000本
3,DS,Newスーパーマリオブラザーズ,任天堂,2006/5/25,648万0000本
4,GB,ポケットモンスター 金 (銀),任天堂,1999/11/21,608万8144本
5,DS,ポケットモンスター ダイヤモンド・パール,ポケモン,2006/9/28,585万0000本
6,DS,ポケットモンスター ブラック・ホワイト,ポケモン,2010/9/18,553万0000本
7,GBA,ポケットモンスター ルビー・サファイア,ポケモン,2002/11/21,540万0000本
8,DS,おいでよ どうぶつの森,任天堂,2005/11/23,533万0000本
9,DS,東北大学未来科学技術共同研究センター川島隆太教授監修 もっと脳を鍛える大人のDSトレーニング,任天堂,2005/12/29,510万0000本
10,PSP,モンスターハンターポータブル3rd,カプコン,2010/12/1,470万0000本
11,Wii,NewスーパーマリオブラザーズWii,任天堂,2009/12/3,462万0000本
12,3DS,ポケットモンスターX・Y,ポケモン,2013/10/12,444万0459本
13,DS,ドラゴンクエストIX 星空の守り人,スクウェア・エニックス,2009/7/11,430万0000本
14,3DS,とびだせ どうぶつの森,任天堂,2012/11/8,424万9432本
15,GB,テトリス,任天堂,1989/6/14,424万0000本
16,GB,スーパーマリオランド,任天堂,1989/4/21,419万0000本
17,GB,ポケットモンスター（赤）,任天堂,1996/2/27,418万0000本
18,PS,ドラゴンクエストVII ～エデンの戦士たち～,エニックス,2000/8/26,414万0000本
19,GB,ポケットモンスター（緑）,任天堂,1996/2/27,404万0000本
20,DS,マリオカートDS,任天堂,2005/12/8,401万0000本
21,PS,ファイナルファンタジーVII,スクウェア,1997/1/31,400万0000本
22,PSP,モンスターハンターポータブル2ndG,カプコン,2008/3/27,400万0000本
23,DS,東北大学未来科学技術共同研究センター川島隆太教授監修 脳を鍛える大人のDSトレーニング,任天堂,2005/5/19,396万0000本
24,DS,ポケットモンスター ハートゴールド・ソウルシルバー,ポケモン,2009/9/12,395万0000本
25,FC,スーパーマリオブラザーズ3,任天堂,1988/10/23,384万0000本
26,SFC,スーパーマリオカート,任天堂,1992/8/27,382万0000本
27,FC,ドラゴンクエストIII　そして伝説へ・・・,エニックス,1988/2/10,380万0000本
28,Wii,Wiiスポーツ,任天堂,2006/12/2,379万0000本
29,DS,トモダチコレクション,任天堂,2009/6/18,375万0000本
30,Wii,マリオカートWii,任天堂,2008/4/10,375万0000本
,,,,,
